cvegeo,nom,pob_1990,pob_2000,pob_2010,crec_1990_2000,crec_2000_2010,sup_km,dens_hab_ha
15058,Nezahualcóyotl,1 256 115,1 225 972,1 110 565,-0.2,-1.0,  63.3,226.8
15059,Nextlalpan, 10 840, 19 532, 31 691,6.1,4.8,  54.7,31.3
15060,Nicolás Romero, 184 134, 269 546, 366 602,3.9,3.0,  232.6,86.5
15061,Nopaltepec, 5 234, 7 512, 8 895,3.7,1.7,  82.6,15.8
15065,Otumba, 21 834, 29 097, 34 232,2.9,1.6,  141.9,22.0
15068,Ozumba, 18 052, 23 592, 27 207,2.7,1.4,  47.5,46.1
15069,Papalotla, 2 387, 3 469, 4 147,3.8,1.7,  3.2,19.4
15070,La Paz, 134 782, 212 694, 253 845,4.7,1.7,  36.6,134.7
15075,San Martín de las Pirámides, 13 563, 19 694, 24 851,3.8,2.3,  69.9,43.0
15081,Tecámac, 123 218, 172 813, 364 579,3.5,7.5,  156.9,98.2
15083,Temamatla, 5 366, 8 840, 11 206,5.2,2.3,  29.2,37.2
15084,Temascalapa, 19 099, 29 307, 35 987,4.4,2.0,  164.6,21.7
15089,Tenango del Aire, 6 207, 8 486, 10 578,3.2,2.2,  38.0,41.0
15091,Teoloyucan, 41 964, 66 556, 63 115,4.8,-0.5,  31.0,44.2
15092,Teotihuacán, 30 486, 44 653, 53 010,3.9,1.7,  83.2,37.1
15093,Tepetlaoxtoc, 16 120, 22 729, 27 944,3.5,2.0,  178.5,15.5
15094,Tepetlixpa, 12 687, 16 863, 18 327,2.9,0.8,  43.1,32.2
15095,Tepotzotlán, 39 647, 62 280, 88 559,4.7,3.5,  207.1,55.4
15096,Tequixquiac, 20 784, 28 067, 33 907,3.1,1.8,  122.5,18.7
15099,Texcoco, 140 368, 204 102, 235 151,3.8,1.4,  428.1,45.9
15100,Tezoyuca, 12 416, 18 852, 35 199,4.3,6.2,  16.5,37.0
15103,Tlalmanalco, 32 984, 42 507, 46 130,2.6,0.8,  160.2,53.5
15104,Tlalnepantla de Baz, 702 807, 721 415, 664 225,0.3,-0.8,  80.4,155.4
15108,Tultepec, 47 323, 93 277, 131 567,7.1,3.4,  26.8,109.4
15109,Tultitlán, 246 464, 432 141, 486 998,5.8,1.2,  66.0,154.6
15112,Villa del Carbón, 27 283, 37 993, 44 881,3.4,1.6,  303.4,21.6
15120,Zumpango, 71 413, 99 774, 159 647,3.4,4.7,  223.6,45.0
15121,Cuautitlán Izcalli, 326 750, 453 298, 511 675,3.4,1.2,  110.1,126.5
15122,Valle de Chalco Solidaridad,n.a., 323 461, 357 645,n.a.,1.0,  46.6,158.7
15125,Tonanitla,n.a.,n.a., 10 216,n.a.,n.a.,  9.0,56.4
